clics_db_id,group_number,premium_payment_type,group_policy_type,category,group_type,effective_date
171,475750223,Annually,Group,MultiNational,SME,2020-12-10
172,60943,Annually,Group,MultiNational,SME,2021-01-01
173,60686,Annually,Group,MultiNational,SME,2020-02-01
174,40867,Annually,Group,MultiNational,SME,2021-03-01
175,60683,Annually,Group,MultiNational,SME,2021-02-03
176,60901,Annually,Group,MultiNational,SME,2020-09-28
177,60676,Annually,Group,MultiNational,SME,2021-01-01
178,475750216,Annually,Group,MultiNational,SME,2020-06-01
179,50889,Annually,Group,MultiNational,SME,2020-04-08
180,475750225,Annually,Group,MultiNational,SME,2021-01-17
181,60940,Annually,Group,MultiNational,SME,2021-01-01
182,475750190,Annually,Group,MultiNational,SME,2019-04-17
183,60768,Annually,Group,MultiNational,SME,2019-10-01
184,42708,Annually,Group,MultiNational,SME,2020-01-01
185,60963,Annually,Group,MultiNational,SME,2021-01-28
186,60907,Annually,Group,MultiNational,SME,2020-10-16
187,60958,Annually,Group,MultiNational,SME,2021-01-26
188,46917,Annually,Group,MultiNational,Standard,2009-01-01
189,60961,Annually,Group,MultiNational,SME,2021-01-27
190,60967,Annually,Group,MultiNational,SME,2021-02-14
191,60933,Annually,Group,MultiNational,SME,2020-12-24
192,60807,Annually,Group,MultiNational,SME,2021-01-15
193,60927,Annually,Group,MultiNational,SME,2020-12-15
194,60828,Annually,Group,MultiNational,SME,2020-03-02
195,60696,Annually,Group,MultiNational,SME,2021-04-01
196,60004,Annually,Group,MultiNational,SME,2020-01-12
197,42846,Annually,Group,MultiNational,SME,2006-09-24
198,60988,Annually,Group,MultiNational,SME,2021-03-15
199,60960,Annually,Group,MultiNational,SME,2021-02-01
200,44610,Annually,Group,MultiNational,SME,2020-08-15
201,60970,Annually,Group,MultiNational,SME,2021-02-14
202,60001,Annually,Group,MultiNational,SME,2014-01-01
203,60128,Annually,Group,MultiNational,SME,2015-01-08
204,60662,Annually,Group,MultiNational,SME,2018-12-11
205,47904,Annually,Group,MultiNational,SME,2020-11-17
206,60978,Annually,Group,MultiNational,SME,2021-03-07
207,60909,Annually,Group,MultiNational,SME,2020-10-25
208,60975,Annually,Group,Local,Standard,2021-02-17
209,60526,Annually,Group,MultiNational,SME,2020-12-24
210,383490000,Annually,Group,MultiNational,SME,2021-04-01
211,383490001,Annually,Group,MultiNational,SME,2021-04-01
212,60982,Annually,Group,MultiNational,Standard,2021-04-01
213,475717686,Annually,Group,MultiNational,SME,2021-01-17
214,60571,Annually,Group,MultiNational,SME,2021-04-04
215,60402,Annually,Group,MultiNational,SME,2021-01-23
216,60981,Annually,Group,MultiNational,SME,2021-02-25
217,60950,Annually,Group,MultiNational,SME,2021-01-21
218,60952,Annually,Group,MultiNational,Standard,2021-01-18
219,60289,Annually,Group,MultiNational,SME,2020-09-01
220,60784,Annually,Group,MultiNational,SME,2021-03-23
221,40247,Semi-Annually,Group,MultiNational,SME,2002-04-11
222,41666,Annually,Group,MultiNational,SME,2021-03-01
223,60984,Annually,Group,MultiNational,SME,2021-03-11
224,60983,Annually,Group,MultiNational,SME,2021-03-04
225,47879,Annually,Group,MultiNational,SME,2021-01-01
226,60296,Annually,Group,MultiNational,SME,2021-04-11
227,50390,Annually,Group,MultiNational,SME,2013-02-25
228,60069,Annually,Group,Local,Standard,2014-07-27
229,60820,Annually,Group,MultiNational,SME,2021-02-05
230,60821,Semi-Annually,Group,MultiNational,SME,2021-02-01
231,60822,Semi-Annually,Group,MultiNational,SME,2021-02-10
232,41670,Semi-Annually,Group,MultiNational,SME,2021-01-01
233,46931,Semi-Annually,Group,MultiNational,SME,2021-03-01
