clics_db_id,start_date,end_date,parent_id
5612,2024-01-01,NULL,64883
5613,2024-01-01,NULL,64884
5614,2023-01-01,NULL,64885
5615,2023-01-01,NULL,64886
5616,2023-01-01,NULL,64887
5617,2024-01-01,NULL,64888
5618,2023-01-01,NULL,64889
5619,2023-01-01,NULL,64890
5620,2024-01-01,NULL,64891
5621,2023-01-01,NULL,64892
5622,2023-01-01,NULL,64893
5623,2023-01-01,NULL,64894
5624,2024-01-01,NULL,64895
5625,2024-01-01,NULL,64896
5626,2023-01-01,NULL,64897
5627,2024-01-01,NULL,64898
5628,2024-01-01,NULL,64899
5629,2023-01-01,NULL,64900
5630,2024-01-01,NULL,64901
5631,2024-01-01,NULL,64902
5632,2023-01-01,NULL,64903
5633,2023-01-01,NULL,64904
5634,2024-01-01,NULL,64905
5635,2024-01-01,NULL,64906
5636,2024-01-01,NULL,64907
5637,2024-01-01,NULL,64908
5638,2024-01-01,NULL,64909
5639,2024-01-01,NULL,64910
5640,2024-01-01,NULL,64911
5641,2023-01-01,NULL,64912
5642,2024-01-01,NULL,64913
5643,2024-01-01,NULL,64914
5644,2023-01-01,NULL,64915
5645,2024-01-01,NULL,64916
5646,2024-01-01,NULL,64917
5647,2024-01-01,NULL,64918
5648,2023-01-01,NULL,64919
5649,2023-01-01,NULL,64920
5650,2023-01-01,NULL,64921
5651,2024-01-01,NULL,64922
5652,2024-01-01,NULL,64923
5653,2024-01-01,NULL,64924
5654,2024-01-01,NULL,64925
5655,2024-01-01,NULL,64926
5656,2023-01-01,NULL,64927
5657,2023-01-01,NULL,64928
5658,2024-01-01,NULL,64929
5659,2023-01-01,NULL,64930
5660,2024-01-01,NULL,64931
5661,2023-01-01,NULL,64932
5662,2023-01-01,NULL,64933
5663,2023-01-01,NULL,64934
5664,2023-01-01,NULL,64935
5665,2024-01-01,NULL,64936
5666,2024-01-01,NULL,64937
5667,2024-01-01,NULL,64938
5668,2024-01-01,NULL,64939
5669,2023-01-01,NULL,64940
5670,2023-01-01,NULL,64941
5671,2024-01-01,NULL,64942
5672,2023-01-01,NULL,64943
5673,2024-01-01,NULL,64944
5674,2024-01-01,NULL,64945
5675,2024-01-01,NULL,64946
5676,2024-01-01,NULL,64947
5677,2023-01-01,NULL,64948
5678,2024-01-01,NULL,64949
5679,2023-01-01,NULL,64950
5680,2024-01-01,NULL,64951
5681,2023-01-01,NULL,64952
5682,2023-01-01,NULL,64953
5683,2024-01-01,NULL,64954
5684,2023-01-01,NULL,64955
5685,2023-01-01,NULL,64956
5686,2023-01-01,NULL,64957
5687,2024-01-01,NULL,64958
5688,2024-01-01,NULL,64959
5689,2024-01-01,NULL,64960
5690,2023-01-01,NULL,64961
5691,2024-01-01,NULL,64962
5692,2023-01-01,NULL,64963
